pointRadiusSpatialFit label,http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit,Point Radius Spatial Fit
preparations label,http://rs.tdwg.org/dwc/terms/preparations,Preparations
PreservedSpecimen label,http://rs.tdwg.org/dwc/terms/PreservedSpecimen,Preserved Specimen
previousIdentifications label,http://rs.tdwg.org/dwc/terms/previousIdentifications,Previous Identifications
recordedBy label,http://rs.tdwg.org/dwc/terms/recordedBy,Recorded By
recordNumber label,http://rs.tdwg.org/dwc/terms/recordNumber,Record Number
relatedResourceID label,http://rs.tdwg.org/dwc/terms/relatedResourceID,Related Resource ID
relationshipAccordingTo label,http://rs.tdwg.org/dwc/terms/relationshipAccordingTo,Relationship According To
relationshipEstablishedDate label,http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate,Relationship Established Date
relationshipOfResource label,http://rs.tdwg.org/dwc/terms/relationshipOfResource,Relationship Of Resource
relationshipRemarks label,http://rs.tdwg.org/dwc/terms/relationshipRemarks,Relationship Remarks
reproductiveCondition label,http://rs.tdwg.org/dwc/terms/reproductiveCondition,Reproductive Condition
resourceID label,http://rs.tdwg.org/dwc/terms/resourceID,Resource ID
ResourceRelationship label,http://rs.tdwg.org/dwc/terms/ResourceRelationship,Resource Relationship
resourceRelationshipID label,http://rs.tdwg.org/dwc/terms/resourceRelationshipID,Resource Relationship ID
sampleSizeUnit label,http://rs.tdwg.org/dwc/terms/sampleSizeUnit,Sample Size Unit
sampleSizeValue label,http://rs.tdwg.org/dwc/terms/sampleSizeValue,Sample Size Value
samplingEffort label,http://rs.tdwg.org/dwc/terms/samplingEffort,Sampling Effort
samplingProtocol label,http://rs.tdwg.org/dwc/terms/samplingProtocol,Sampling Protocol
scientificName label,http://rs.tdwg.org/dwc/terms/scientificName,Scientific Name
scientificNameAuthorship label,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship,Scientific Name Authorship
scientificNameID label,http://rs.tdwg.org/dwc/terms/scientificNameID,Scientific Name ID
sex label,http://rs.tdwg.org/dwc/terms/sex,Sex
specificEpithet label,http://rs.tdwg.org/dwc/terms/specificEpithet,Specific Epithet
startDayOfYear label,http://rs.tdwg.org/dwc/terms/startDayOfYear,Start Day Of Year
stateProvince label,http://rs.tdwg.org/dwc/terms/stateProvince,State Province
subgenus label,http://rs.tdwg.org/dwc/terms/subgenus,Subgenus
Taxon label,http://rs.tdwg.org/dwc/terms/Taxon,Taxon
taxonConceptID label,http://rs.tdwg.org/dwc/terms/taxonConceptID,Taxon Concept ID
taxonID label,http://rs.tdwg.org/dwc/terms/taxonID,Taxon ID
taxonomicStatus label,http://rs.tdwg.org/dwc/terms/taxonomicStatus,Taxonomic Status
taxonRank label,http://rs.tdwg.org/dwc/terms/taxonRank,Taxon Rank
taxonRemarks label,http://rs.tdwg.org/dwc/terms/taxonRemarks,Taxon Remarks
typeStatus label,http://rs.tdwg.org/dwc/terms/typeStatus,Type Status
verbatimCoordinates label,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,Verbatim Coordinates
verbatimCoordinateSystem label,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,Verbatim Coordinate System
verbatimDepth label,http://rs.tdwg.org/dwc/terms/verbatimDepth,Verbatim Depth
verbatimElevation label,http://rs.tdwg.org/dwc/terms/verbatimElevation,Verbatim Elevation
verbatimEventDate label,http://rs.tdwg.org/dwc/terms/verbatimEventDate,Verbatim EventDate
verbatimLatitude label,http://rs.tdwg.org/dwc/terms/verbatimLatitude,Verbatim Latitude
verbatimLocality label,http://rs.tdwg.org/dwc/terms/verbatimLocality,Verbatim Locality
verbatimLongitude label,http://rs.tdwg.org/dwc/terms/verbatimLongitude,Verbatim Longitude
verbatimSRS label,http://rs.tdwg.org/dwc/terms/verbatimSRS,Verbatim SRS
verbatimTaxonRank label,http://rs.tdwg.org/dwc/terms/verbatimTaxonRank,Verbatim Taxon Rank
vernacularName label,http://rs.tdwg.org/dwc/terms/vernacularName,Vernacular Name
waterBody label,http://rs.tdwg.org/dwc/terms/waterBody,Water Body
year label,http://rs.tdwg.org/dwc/terms/year,Year
pathway label,http://rs.tdwg.org/dwc/terms/pathway,Pathway
degreeOfEstablishment label,http://rs.tdwg.org/dwc/terms/degreeOfEstablishment,Degree of Establishment
recordedByID label,http://rs.tdwg.org/dwc/terms/recordedByID,Recorded By ID
verticalDatum label,http://rs.tdwg.org/dwc/terms/verticalDatum,Vertical Datum
verbatimIdentification label,http://rs.tdwg.org/dwc/terms/verbatimIdentification,Verbatim Identification
identifiedByID label,http://rs.tdwg.org/dwc/terms/identifiedByID,Identified By ID
subfamily label,http://rs.tdwg.org/dwc/terms/subfamily,Subfamily
genericName label,http://rs.tdwg.org/dwc/terms/genericName,Generic Name
infragenericEpithet label,http://rs.tdwg.org/dwc/terms/infragenericEpithet,Infrageneric Epithet
cultivarEpithet label,http://rs.tdwg.org/dwc/terms/cultivarEpithet,Cultivar Epithet
relationshipOfResourceID label,http://rs.tdwg.org/dwc/terms/relationshipOfResourceID,Relationship Of Resource ID
MaterialCitation label,http://rs.tdwg.org/dwc/terms/MaterialCitation,Material Citation
